TITLE:  An Experimental Investigation of the Flow through an Axial-Flow Pump
AUTHORS:  Zierke, Straka, and Taylor
JOURNAL PAPER FIGURE(S):  NA
PSU/ARL TR 93-12 FIGURE(S): 32,33
*****************************************************************************
DATA TITLE:  Circumferentially-Averaged Velocities and Pressure Coefficients
             Measured 49.7% IGV Chord Axially Downstream of IGV Trailing Edge
             with Radial 5-Hole Probe
MEASUREMENT TYPE:  linear (radial) 5-hole probe survey
MEASUREMENT LOCATION:  49.7% IGV chord downstream of IGV trailing edge
NOMINAL CONDITIONS:  
  vinf = 35.0 ft/sec
  pref = 43.2 psia
  rho  = 1.932 slugs/ft^3
  rotor rpm  = 260
  rotor tip speed, Utip = 47.6 ft/sec
  volumetric flow coefficient = 1.36
  IGV span = 10.50 inches
  IGV chord = 6.90 inches
DATA COLUMNS:
  1 --  percent span of measurement (0 is at hub, 100 at outer casing liner)
  2 --  nondimensional axial velocity, Vz / Utip 
  3 --  nondimensional radial velocity, Vr / Utip  
  4 --  nondimensional tangental velocity, Vtheta / Utip   
  5 --  cpt, total pressure coefficient, = (Ptot - Pref)/(0.5*rho*vinf^2)
  6 --  cps, static pressure coefficient, = (Psta - Pref)/(0.5*rho*vinf^2)
*****************************************************************************
10.47618    0.74297    -0.02400    0.16048    1.02061    -0.05205    
12.38094    0.74454    -0.02375    0.16426    1.03204    -0.04663    
14.28571    0.74425    -0.02422    0.16573    1.03672    -0.04200    
16.19047    0.74515    -0.02375    0.16604    1.04512    -0.03594    
18.09523    0.73469    -0.02101    0.16810    1.02690    -0.02715    
19.99999    0.73277    -0.02099    0.17443    1.03211    -0.01999    
21.90475    0.73622    -0.02020    0.17476    1.04393    -0.01707    
23.80952    0.73330    -0.01936    0.17260    1.04160    -0.00990    
27.61904    0.73400    -0.01775    0.16546    1.03964    -0.00904    
31.42856    0.73488    -0.01602    0.16184    1.04175    -0.00725    
35.23809    0.73525    -0.01605    0.16008    1.03744    -0.01186    
39.04761    0.73667    -0.01752    0.15859    1.03857    -0.01404    
42.85714    0.73876    -0.01949    0.15670    1.04312    -0.01404    
46.66666    0.73889    -0.01949    0.15747    1.04906    -0.00866    
50.47618    0.74092    -0.01877    0.15680    1.05427    -0.00877    
54.28570    0.74252    -0.01775    0.15321    1.05009    -0.01561    
58.09522    0.74821    -0.01993    0.14220    1.05203    -0.02408    
61.90475    0.75029    -0.02255    0.13636    1.05200    -0.02693    
65.71428    0.75341    -0.02382    0.13244    1.05819    -0.02756    
69.52380    0.75299    -0.02533    0.12636    1.05338    -0.02841    
73.33331    0.75045    -0.02628    0.11485    1.04121    -0.02902    
77.14284    0.75163    -0.02569    0.10690    1.04412    -0.02604    
80.95237    0.75418    -0.02474    0.09977    1.04673    -0.02771    
82.85713    0.75457    -0.02379    0.09670    1.04722    -0.02737    
84.76189    0.75598    -0.02258    0.09098    1.04722    -0.02948    
86.66665    0.76032    -0.02093    0.08428    1.05431    -0.03274    
88.57141    0.76051    -0.02027    0.07796    1.05390    -0.03179    
90.47618    0.75937    -0.01836    0.07191    1.04946    -0.03148    
92.38094    0.75402    -0.01490    0.06498    1.03130    -0.03279    
94.28571    0.74451    -0.00936    0.05931    0.99094    -0.04563    
96.19045    0.70914    -0.00342    0.05939    0.89295    -0.04914    
98.09522    0.63746    0.00515    0.06352    0.72057    -0.04581    
100.00000    0.43632    0.03030    0.06481    0.38187    0.01350    
