TITLE:  An Experimental Investigation of the Flow through an Axial-Flow Pump
AUTHORS:  Zierke, Straka, and Taylor
JOURNAL PAPER FIGURE(S):  NA
PSU/ARL TR 93-12 FIGURE(S): 63b, 72a, 73a, 76a
*****************************************************************************
DATA TITLE:  Circumferentially-Averaged Velocities and Correlations
             Measured 21.4% Rotor Tip Chord Axially Downstream of Rotor Tip 
             Trailing Edge with Laser Doppler Velocimeter
MEASUREMENT TYPE:  2-component laser Doppler velocimeter
MEASUREMENT LOCATION:  21.4% rotor tip chord axially downstream of rotor tip 
                       trailing edge
NOMINAL CONDITIONS:  
  vinf = 35.0 ft/sec
  pref = 43.2 psia
  rho  = 1.932 slugs/ft^3
  rotor rpm  = 260
  rotor tip speed, Utip = 47.6 ft/sec
  volumetric flow coefficient = 1.36
  rotor span = 10.50 inches
  rotor tip chord = 10.49 inches
DATA COLUMNS:
  1 --  Filename (ignore)
  2 --  percent span of measurement axial velocity measurement 
        (0 is at hub, 100 at outer casing liner)
  3 --  nondimensional axial velocity mean, Vz / Utip 
  4 --  nondimensional axial velocity variance, 
        ((Vz_prime + Vz_tilda)^2 / Utip^2 ) * 100
  5 --  nondimensional axial velocity nondeterministic unsteadiness,
        ((Vz_prime * Vz_prime) / Utip^2 ) * 100
  6 --  nondimensional axial velocity deterministic unsteadiness,
        ((Vz_tilda * Vz_tilda) / Utip^2 ) * 100
  7 --  percent span of measurement tangential velocity measurement 
        (0 is at hub, 100 at outer casing liner)
  8 --  nondimensional tangential velocity mean, Vt / Utip 
  9 --  nondimensional tangential velocity variance, 
        ((Vt_prime + Vt_tilda)^2 / Utip^2 ) * 100
  10--  nondimensional tangential velocity nondeterministic unsteadiness,
        ((Vt_prime * Vt_prime) / Utip^2 ) * 100
  11--  nondimensional tangential velocity deterministic unsteadiness,
        ((Vt_tilda * Vt_tilda) / Utip^2 ) * 100
  12--  nondimensional cross-correlation deterministic unsteadiness,
        ((Vz_tilda * Vt_tilda) / Utip^2 ) * 100
*****************************************************************************
401DH101.DAT    99.04762    0.39449    0.97660    0.70970    0.41000    99.36340    0.05867    1.44200    0.81240    0.66340    -0.30530    
401DH102.DAT    98.57143    0.41240    1.15350    0.71950    0.57870    98.89536    0.05437    1.40600    0.81330    0.62010    -0.28290    
401DH103.DAT    98.09524    0.42229    1.41010    0.78420    0.74010    98.42731    0.04994    1.35090    0.82810    0.56250    -0.23830    
401DH104.DAT    97.61904    0.43597    1.59600    0.81530    0.88940    97.95926    0.04252    1.27240    0.86680    0.45870    -0.10180    
401DH105.DAT    97.14286    0.45260    1.67790    0.84330    0.90990    97.49123    0.03113    1.18760    0.85090    0.41970    0.03260    
401DH106.DAT    96.19048    0.48517    1.82840    0.89320    0.95380    96.55514    0.01131    1.08720    0.80850    0.43970    0.32450    
401DH107.DAT    95.23810    0.51131    1.82760    0.86800    0.91340    95.61905    -0.00039    1.03490    0.72940    0.50370    0.46160    
401DH108.DAT    94.28571    0.54178    1.81800    0.87690    0.83720    94.68295    -0.01126    0.93710    0.64950    0.54630    0.53480    
401DH109.DAT    92.38095    0.60263    1.59750    0.88870    0.55090    92.81078    -0.02076    0.74910    0.51690    0.46570    0.44340    
401DH110.DAT    91.42858    0.63536    1.33130    0.85240    0.36960    91.87471    -0.01988    0.66370    0.47080    0.36750    0.31910    
401DH111.DAT    90.47619    0.66523    1.05270    0.76180    0.22660    90.93862    -0.01928    0.52500    0.39160    0.25560    0.18940    
401DH112.DAT    89.52380    0.69326    0.81840    0.62790    0.15890    90.00253    -0.01830    0.42220    0.31820    0.18690    0.09270    
401DH113.DAT    88.09524    0.72743    0.67000    0.39330    0.24490    88.59840    -0.01622    0.28990    0.21530    0.12270    0.02290    
401DH114.DAT    85.71429    0.75490    0.64790    0.14180    0.45580    86.25819    -0.01648    0.14950    0.09090    0.09630    0.03520    
401DH115.DAT    83.33333    0.76210    0.58030    0.11640    0.41820    83.91796    -0.01818    0.09200    0.05450    0.08860    0.06230    
401DH116.DAT    80.95238    0.76655    0.46320    0.10140    0.34250    81.57777    -0.01975    0.08000    0.04320    0.08760    0.08140    
401DH117.DAT    76.19048    0.77167    0.38970    0.11470    0.27260    76.89733    -0.02178    0.06850    0.04110    0.08490    0.09920    
401DH118.DAT    66.66667    0.77692    0.41980    0.15250    0.26530    67.53648    -0.02352    0.08280    0.04330    0.10660    0.10490    
401dh119.DAT    57.14286    0.77997    0.57130    0.19640    0.34750    58.17562    -0.02463    0.09600    0.04310    0.13320    0.12250    
401dh120.DAT    47.61905    0.77441    0.85510    0.32600    0.45990    48.81476    -0.02642    0.15850    0.05420    0.21700    0.18310    
401dh121.DAT    38.09524    0.76585    1.21650    0.44420    0.63850    39.45391    -0.02604    0.19550    0.05940    0.26640    0.21890    
401dh122.DAT    28.57143    0.76545    1.33710    0.36650    0.84190    30.09305    -0.03136    0.25860    0.07110    0.34420    0.24120    
401dh123.DAT    19.04762    0.75640    1.38100    0.39020    1.13520    20.73219    -0.04247    0.33130    0.09140    0.44780    0.27580    
